Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.969110012054443,0.992980003356934,0.993369996547699,0.993929982185364,1.00425004959106,1.01460003852844,1.03680002689362,1.02532005310059,1.02925002574921,1.02243995666504,1.02392995357513,1.02469003200531,1.01361000537872,0.99879002571106,0.992640018463135,0.986310005187988,0.979759991168976,..,0.993879973888397,..,..,..,..
Rwanda,RWA,Progression to secondary school (%),SE.SEC.PROG.ZS,..,..,..,..,..,..,..,..,..,74.93462,71.82618,68.46453,72.02583,82.41147,72.66696,..,..,..,..,..,..,..,..
Rwanda,RWA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,..,..,..,..,..,..,..,..,..,74.2635,71.03562,67.14811,70.9663,78.12549,72.04403,..,..,..,..,..,..,..,..
Rwanda,RWA,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,..,..,..,..,..,..,..,..,..,75.72798,72.76072,70.04375,73.30081,88.17147,73.41762,..,..,..,..,..,..,..,..
Rwanda,RWA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,..,24.4894294738769,30.3770408630371,41.7730484008789,40.6290397644043,..,..,..,54.7251281738281,79.0543750716755,63.9888615888616,69.1375623663578,68.322431871909,73.7337308122607,85.4486569125753,91.0225253475489,102.371902474162,..,101.348167626624,..,65.063050613232,73.3082470994042,..
Rwanda,RWA,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,31.01069,35.95852,35.9572,16.67154,18.74939,..,14.57026,..,17.59652,12.73833,12.76948,17.59849,19.45491,19.282,17.66425,14.53765,..,..,..,..,..,..,..
Rwanda,RWA,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,32.54292,36.09305,36.09309,16.5118,18.83329,..,14.60962,..,17.70001,12.60861,12.45681,17.07883,18.79345,18.28248,16.14479,13.58886,..,..,..,..,..,..,..
Rwanda,RWA,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,34.10121,36.22757,36.22757,16.35505,18.91453,..,14.64702,..,17.79997,12.48248,12.15326,16.57453,18.14417,17.28603,14.61896,12.62865,..,..,..,..,..,..,..
Rwanda,RWA,Lower secondary school starting age (years),SE.SEC.AGES,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,..
Rwanda,RWA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,37.7241956407203,..,37.5726242186672,36.4876862823194,36.6978752167633,38.4176148091562,36.6600794150226,41.625658216405,..,42.410280241384,38.5606189834022,32.3257439316148,47.5778523975056,..
Rwanda,RWA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,76.8600006103516,..,..,..,..,68.21,..,..,..,83.4899978637695,..,86.2600021362305,89.1699981689453,..,..,88.5,..,92.6999969482422,..,92.370002746582,..,..,..
Rwanda,RWA,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,..,..,..,..,..,..,..,..,..,35.9350877822856,..,35.4937101499224,34.799740130441,34.7658294086865,36.44679902026,34.4610642464132,38.3623107122827,..,38.9437805864644,34.8774317933323,28.8771643011072,42.834791640645,..
Rwanda,RWA,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,..,..,..,..,..,..,..,..,..,39.4657975902351,..,39.5847058332986,38.1206585531095,38.5696971617329,40.334241487953,38.8092500691281,44.8303749459682,..,45.835599384071,42.2067940769585,35.7384961993836,52.3170499405548,..
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
