Indicator,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Fertility rate, total (births per woman),5.848,5.802,5.724,5.609,5.453,5.263,5.083,4.902,4.759,4.569,4.384,4.216,4.113,4.021,3.952,3.877,3.791,3.72,3.648,..,..
School enrollment, secondary, female (% gross),24.8580207824707,26.8940505981445,26.4809303283691,28.9009094238281,30.1589107513428,31.2023279228704,32.4309158727431,32.3157881419039,35.4070171986027,37.2084539407515,37.6379016435624,35.6916809082031,39.0289251751713,38.1734496554461,31.9471376555901,43.9545178667563,36.1013396035833,35.8626281732909,37.2564052253575,..,..
